t_dat,customer_id,article_id,price
2020-03-01,U00493,1000140,96.92
2020-03-14,U00334,1000121,49.88
2020-04-25,U00493,1000073,35.19
2020-11-02,U00464,1000196,13.41
2020-10-08,U00273,1000189,72.97
2020-01-06,U00213,1000045,92.79
2020-01-27,U00203,1000126,22.51
2020-12-28,U00474,1000074,87.41
2020-01-10,U00290,1000154,15.09
2020-06-10,U00232,1000164,56.07
2020-08-05,U00435,1000129,48.99
2020-04-26,U00057,1000084,20.27
2020-08-21,U00131,1000183,22.5
2020-12-11,U00404,1000075,58.37
2020-04-06,U00312,1000163,89.32
2020-07-17,U00167,1000022,42.68
2020-02-06,U00071,1000122,35.42
2020-04-01,U00133,1000098,27.14
2020-05-11,U00154,1000149,72.95
2020-01-09,U00334,1000092,70.12
2020-01-22,U00060,1000119,33.84
2020-07-22,U00257,1000180,77.37
2020-12-04,U00327,1000075,39.55
2020-04-08,U00490,1000034,49.95
2020-08-24,U00310,1000095,44.09
2020-09-16,U00387,1000137,80.39
2020-04-25,U00126,1000174,75.95
2020-02-17,U00228,1000135,71.15
2020-02-19,U00057,1000015,82.9
2020-09-07,U00293,1000137,19.09
2020-06-28,U00266,1000113,15.93
2020-04-23,U00298,1000125,13.55
2020-09-15,U00414,1000014,47.62
2020-09-14,U00233,1000144,10.43
2020-08-22,U00413,1000078,72.99
2020-07-09,U00418,1000000,75.11
2020-10-03,U00023,1000108,37.39
2020-02-18,U00030,1000017,97.7
2020-08-02,U00146,1000104,21.92
2020-03-25,U00328,1000186,65.71
2020-07-12,U00456,1000097,47.16
2020-07-13,U00041,1000174,95.63
2020-09-05,U00334,1000089,16.15
2020-09-13,U00270,1000032,73.42
2020-04-27,U00001,1000193,7.14
2020-05-15,U00344,1000184,56.18
2020-09-13,U00421,1000058,28.27
2020-06-05,U00141,1000048,93.12
2020-12-25,U00057,1000008,81.09
2020-07-20,U00392,1000004,27.62
2020-02-04,U00304,1000008,46.97
2020-11-23,U00446,1000012,28.01
2020-01-13,U00224,1000059,55.74
2020-01-05,U00257,1000074,27.01
2020-12-19,U00163,1000147,61.2
2020-11-27,U00164,1000060,33.37
2020-03-22,U00266,1000056,43.87
2020-05-02,U00285,1000151,87.69
2020-03-21,U00347,1000109,57.25
2020-01-12,U00482,1000164,68.11
2020-09-11,U00356,1000106,43.38
2020-05-13,U00094,1000193,55.57
2020-04-28,U00115,1000076,85.61
2020-03-26,U00237,1000014,57.86
2020-07-18,U00271,1000034,41.51
2020-05-07,U00169,1000165,12.43
2020-08-28,U00189,1000023,55.35
2020-04-02,U00137,1000096,68.33
2020-10-02,U00447,1000018,22.69
2020-10-24,U00343,1000143,25.4
2020-04-28,U00464,1000085,33.5
2020-01-07,U00479,1000048,95.44
2020-02-24,U00386,1000122,90.96
2020-12-20,U00360,1000052,42.28
2020-04-18,U00164,1000198,31.61
2020-08-18,U00332,1000091,33.99
2020-06-17,U00451,1000127,48.8
2020-12-16,U00389,1000081,90.95
2020-06-11,U00211,1000011,57.88
2020-04-24,U00074,1000004,29.51
2020-10-19,U00368,1000106,32.75
2020-04-11,U00117,1000097,58.56
2020-04-16,U00281,1000167,93.69
2020-06-09,U00390,1000125,95.85
2020-11-24,U00251,1000117,20.81
2020-06-06,U00071,1000184,56.38
2020-03-18,U00328,1000015,54.25
2020-02-27,U00342,1000012,76.85
2020-07-05,U00431,1000161,26.75
2020-12-05,U00004,1000055,52.54
2020-06-02,U00316,1000163,67.67
2020-10-16,U00337,1000124,6.48
2020-09-18,U00210,1000003,6.57
2020-12-09,U00274,1000073,6.61
2020-12-22,U00220,1000045,15.06
2020-02-17,U00076,1000061,23.04
2020-09-09,U00417,1000090,30.13
2020-07-03,U00191,1000103,48.15
2020-04-23,U00115,1000076,69.3
2020-02-21,U00439,1000166,76.4
2020-02-13,U00194,1000096,56.95
2020-01-21,U00004,1000179,21.11
2020-08-28,U00222,1000165,78.73
2020-10-28,U00498,1000024,89.11
2020-01-08,U00108,1000177,88.43
2020-08-09,U00023,1000019,69.34
2020-05-18,U00288,1000168,8.09
2020-06-01,U00492,1000053,60.18
2020-12-27,U00203,1000019,33.13
2020-10-08,U00290,1000099,68.64
2020-09-11,U00196,1000193,74.54
2020-12-24,U00040,1000128,75.07
2020-06-02,U00050,1000111,26.82
2020-02-11,U00309,1000196,62.7
2020-10-13,U00496,1000198,35.68
2020-11-09,U00401,1000115,51.12
2020-06-18,U00481,1000096,45.59
2020-11-19,U00338,1000097,13.06
2020-10-10,U00408,1000063,72.03
2020-02-09,U00078,1000097,71.9
2020-11-05,U00378,1000099,34.77
2020-02-03,U00002,1000078,46.81
2020-05-04,U00067,1000022,22.61
2020-08-18,U00284,1000131,43.36
2020-01-03,U00181,1000141,13.75
2020-10-26,U00166,1000098,6.16
2020-07-13,U00398,1000021,73.14
2020-09-08,U00292,1000133,20.94
2020-07-06,U00071,1000068,33.31
2020-08-05,U00032,1000042,45.86
2020-07-10,U00247,1000019,38.95
2020-04-24,U00320,1000126,60.82
2020-04-15,U00054,1000034,33.64
2020-07-11,U00430,1000158,40.71
2020-06-15,U00171,1000110,81.65
2020-11-20,U00069,1000076,35.14
2020-12-07,U00245,1000080,21.7
2020-07-11,U00149,1000188,70.33
2020-08-19,U00400,1000062,35.63
2020-05-27,U00402,1000100,39.31
2020-10-07,U00303,1000139,21.91
2020-09-01,U00487,1000186,48.39
2020-12-07,U00224,1000074,83.14
2020-02-27,U00434,1000104,68.26
2020-03-21,U00155,1000061,28.75
2020-03-23,U00216,1000096,11.95
2020-10-16,U00298,1000102,55.23
2020-12-14,U00278,1000009,79.33
2020-06-23,U00458,1000137,60.82
2020-02-04,U00393,1000063,66.81
2020-06-06,U00331,1000156,9.16
2020-11-22,U00331,1000102,95.88
2020-06-26,U00220,1000027,5.99
2020-05-08,U00261,1000191,53.77
2020-10-23,U00294,1000056,46.9
2020-07-15,U00395,1000173,60.33
2020-09-05,U00176,1000006,50.38
2020-05-14,U00471,1000021,15.91
2020-12-05,U00178,1000079,37.25
2020-04-17,U00247,1000089,49.76
2020-08-24,U00356,1000115,34.98
2020-05-02,U00414,1000181,15.82
2020-06-21,U00055,1000173,80.2
2020-12-08,U00264,1000044,56.88
2020-06-18,U00218,1000118,26.79
2020-07-21,U00094,1000047,65.21
2020-07-13,U00014,1000188,62.73
2020-04-15,U00303,1000109,41.55
2020-12-07,U00105,1000071,75.72
2020-02-19,U00052,1000137,22.57
2020-06-07,U00234,1000029,29.66
2020-08-17,U00494,1000163,34.46
2020-07-20,U00200,1000150,15.74
2020-06-28,U00234,1000158,21.22
2020-11-23,U00409,1000076,91.36
2020-10-03,U00344,1000034,34.44
2020-04-10,U00059,1000046,40.09
2020-03-17,U00198,1000107,61.06
2020-10-13,U00216,1000047,50.75
2020-09-23,U00470,1000165,92.49
2020-03-18,U00085,1000125,32.15
2020-03-11,U00431,1000115,63.22
2020-06-01,U00248,1000034,23.34
2020-07-18,U00258,1000167,51.53
2020-11-16,U00212,1000181,83.95
2020-08-06,U00042,1000144,7.9
2020-04-10,U00016,1000070,26.14
2020-05-06,U00399,1000117,58.17
2020-08-18,U00261,1000028,58.84
2020-05-25,U00278,1000093,55.95
2020-01-25,U00368,1000112,56.36
2020-07-04,U00376,1000167,75.63
2020-05-28,U00016,1000115,29.7
2020-02-15,U00443,1000030,77.91
2020-04-07,U00415,1000188,60.26
2020-06-28,U00363,1000156,64.48
2020-03-20,U00071,1000052,81.47
2020-01-19,U00179,1000136,31.42
2020-09-06,U00165,1000180,32.51
2020-10-09,U00487,1000131,97.64
2020-11-27,U00048,1000034,95.5
2020-07-02,U00141,1000167,16.93
2020-03-08,U00074,1000182,35.28
2020-04-25,U00431,1000173,41.91
2020-03-19,U00323,1000068,64.01
2020-07-15,U00038,1000162,79.69
2020-02-13,U00263,1000191,31.15
2020-06-15,U00486,1000124,35.77
2020-01-28,U00396,1000187,13.76
2020-08-21,U00340,1000178,38.67
2020-02-26,U00273,1000101,25.48
2020-07-27,U00108,1000126,30.24
2020-05-11,U00280,1000147,17.28
2020-08-26,U00175,1000174,76.65
2020-01-04,U00320,1000117,6.53
2020-03-15,U00233,1000000,98.23
2020-07-07,U00352,1000033,87.92
2020-05-06,U00447,1000070,13.77
2020-06-09,U00042,1000095,67.46
2020-11-06,U00026,1000101,63.81
2020-12-23,U00386,1000059,45.35
2020-02-23,U00048,1000000,25.06
2020-02-05,U00303,1000057,53.83
2020-08-01,U00004,1000178,37.3
2020-02-28,U00216,1000177,17.42
2020-02-08,U00196,1000022,73.69
2020-02-04,U00160,1000094,87.81
2020-03-13,U00396,1000192,87.2
2020-11-22,U00073,1000017,54.87
2020-01-20,U00332,1000042,46.37
2020-12-07,U00321,1000191,19.23
2020-07-20,U00351,1000113,85.84
2020-02-04,U00071,1000192,16.58
2020-12-13,U00179,1000109,34.56
2020-03-08,U00141,1000165,12.92
2020-09-20,U00307,1000184,62.11
2020-12-01,U00434,1000168,87.33
2020-04-17,U00310,1000130,22.73
2020-07-10,U00330,1000013,78.68
2020-04-16,U00197,1000028,27.66
2020-11-20,U00036,1000135,88.54
2020-01-12,U00478,1000081,17.41
2020-10-14,U00187,1000139,69.2
2020-08-25,U00037,1000004,60.21
2020-01-09,U00110,1000010,91.72
2020-07-17,U00146,1000160,71.99
2020-07-14,U00359,1000102,12.75
2020-09-18,U00315,1000039,31.08
2020-05-03,U00261,1000052,96.59
2020-03-18,U00167,1000100,60.13
2020-11-22,U00329,1000016,34.16
2020-07-24,U00488,1000061,10.44
2020-02-14,U00059,1000116,62.56
2020-01-10,U00341,1000189,66.86
2020-03-04,U00006,1000181,17.9
2020-01-06,U00254,1000088,54.16
2020-12-09,U00085,1000095,16.93
2020-05-24,U00453,1000030,77.51
2020-01-11,U00413,1000109,30.57
2020-02-09,U00364,1000147,63.99
2020-08-15,U00261,1000092,10.21
2020-10-06,U00188,1000040,28.98
2020-02-19,U00345,1000185,15.84
2020-12-17,U00001,1000011,85.72
2020-01-08,U00023,1000120,39.21
2020-03-06,U00476,1000009,56.97
2020-12-24,U00335,1000107,26.1
2020-04-14,U00468,1000184,35.07
2020-02-19,U00190,1000030,52.19
2020-01-06,U00114,1000132,97.25
2020-07-03,U00449,1000119,86.41
2020-05-11,U00044,1000141,47.93
2020-06-07,U00149,1000144,78.74
2020-12-20,U00124,1000118,39.62
2020-08-25,U00397,1000050,73.85
2020-09-25,U00407,1000062,19.15
2020-07-01,U00119,1000138,37.56
2020-12-01,U00486,1000085,5.14
2020-11-13,U00434,1000188,73.36
2020-02-07,U00271,1000060,44.46
2020-01-05,U00364,1000071,13.74
2020-04-28,U00266,1000105,70.88
2020-06-15,U00498,1000191,12.98
2020-02-17,U00068,1000163,82.08
2020-02-19,U00290,1000015,45.89
2020-03-08,U00149,1000066,84.99
2020-07-23,U00425,1000188,35.67
2020-08-09,U00119,1000019,93.69
2020-03-25,U00394,1000149,15.24
2020-02-06,U00230,1000119,34.52
2020-02-18,U00183,1000197,24.52
2020-05-15,U00135,1000030,13.5
2020-11-10,U00423,1000180,70.51
2020-01-07,U00427,1000083,18.94
2020-12-08,U00495,1000091,42.25
2020-01-22,U00153,1000066,82.09
2020-03-01,U00487,1000103,85.33
2020-09-24,U00281,1000063,13.9
2020-02-26,U00406,1000035,16.42
2020-01-27,U00399,1000056,17.29
2020-07-12,U00351,1000161,93.13
2020-02-19,U00300,1000066,91.24
2020-02-01,U00033,1000050,89.83
2020-08-26,U00065,1000023,90.08
2020-06-04,U00021,1000118,9.76
2020-10-14,U00420,1000185,42.13
2020-01-13,U00349,1000109,21.24
2020-04-06,U00140,1000071,46.93
2020-03-02,U00314,1000158,63.0
2020-11-10,U00255,1000105,87.98
2020-08-02,U00044,1000071,41.0
2020-07-07,U00329,1000134,28.42
2020-09-26,U00009,1000097,78.5
2020-06-16,U00278,1000124,37.34
2020-10-17,U00164,1000099,30.42
2020-01-11,U00305,1000056,7.75
2020-05-02,U00414,1000120,54.77
2020-10-08,U00498,1000040,14.41
2020-11-08,U00136,1000136,81.73
2020-12-02,U00391,1000056,59.12
2020-07-12,U00478,1000044,21.55
2020-10-11,U00412,1000188,70.58
2020-10-01,U00360,1000179,38.06
2020-10-19,U00072,1000144,94.15
2020-08-18,U00158,1000044,51.1
2020-02-02,U00119,1000154,25.57
2020-09-16,U00000,1000084,91.28
2020-04-26,U00066,1000087,72.39
2020-06-02,U00011,1000037,60.14
2020-03-25,U00056,1000134,85.9
2020-02-12,U00360,1000169,42.19
2020-02-11,U00154,1000082,17.83
2020-03-24,U00485,1000111,79.43
2020-08-21,U00162,1000044,71.48
2020-09-23,U00455,1000157,78.98
2020-04-22,U00301,1000044,40.57
2020-12-23,U00150,1000032,21.7
2020-01-23,U00485,1000146,41.81
2020-10-02,U00093,1000154,34.91
2020-10-08,U00327,1000144,14.79
2020-08-05,U00169,1000190,12.31
2020-06-11,U00085,1000162,88.22
2020-02-27,U00362,1000171,65.08
2020-06-15,U00005,1000067,24.71
2020-12-03,U00179,1000065,78.98
2020-12-01,U00024,1000098,46.19
2020-07-06,U00452,1000105,51.35
2020-07-12,U00279,1000096,14.53
2020-08-26,U00442,1000147,66.19
2020-11-08,U00083,1000115,11.93
2020-01-10,U00010,1000081,29.55
2020-02-03,U00175,1000043,88.47
2020-03-24,U00038,1000140,93.53
2020-02-11,U00304,1000157,88.96
2020-12-01,U00220,1000167,20.51
2020-07-06,U00027,1000025,36.12
2020-04-14,U00356,1000141,72.87
2020-12-18,U00135,1000169,31.46
2020-04-04,U00025,1000100,58.75
2020-08-05,U00027,1000092,5.36
2020-02-10,U00421,1000169,63.76
2020-08-07,U00049,1000006,24.45
2020-11-10,U00041,1000121,84.31
2020-05-26,U00203,1000120,50.98
2020-11-09,U00046,1000164,56.15
2020-03-12,U00453,1000097,39.72
2020-08-02,U00134,1000112,48.72
2020-04-27,U00137,1000144,10.79
2020-12-22,U00049,1000021,67.81
2020-09-14,U00497,1000193,60.43
2020-09-02,U00430,1000099,81.93
2020-07-18,U00351,1000121,58.84
2020-04-16,U00153,1000020,42.11
2020-12-02,U00257,1000146,89.64
2020-10-22,U00317,1000037,16.31
2020-08-06,U00485,1000042,96.38
2020-04-05,U00021,1000108,12.37
2020-11-14,U00103,1000160,18.9
2020-10-09,U00163,1000186,90.93
2020-02-03,U00198,1000142,42.35
2020-06-28,U00141,1000133,48.07
2020-01-26,U00358,1000159,60.23
2020-07-04,U00212,1000038,18.93
2020-10-19,U00388,1000025,91.94
2020-10-25,U00051,1000073,86.54
2020-06-14,U00135,1000098,66.55
2020-10-20,U00242,1000009,21.19
2020-07-05,U00316,1000155,69.0
2020-07-02,U00202,1000084,69.91
2020-01-24,U00243,1000068,89.32
2020-01-11,U00418,1000077,34.23
2020-08-28,U00356,1000175,14.23
2020-04-05,U00153,1000190,46.65
2020-06-09,U00373,1000106,61.87
2020-02-07,U00226,1000054,90.86
2020-07-24,U00248,1000194,53.55
2020-06-27,U00028,1000131,79.4
2020-02-10,U00363,1000129,42.92
2020-09-19,U00014,1000044,23.12
2020-04-27,U00029,1000063,8.11
2020-01-12,U00360,1000050,30.75
2020-08-17,U00203,1000162,91.77
2020-11-01,U00123,1000095,50.95
2020-08-06,U00491,1000121,60.17
2020-06-12,U00083,1000066,75.4
2020-12-03,U00145,1000007,41.34
2020-03-28,U00292,1000199,95.7
2020-04-21,U00115,1000173,24.43
2020-11-14,U00262,1000005,86.28
2020-11-01,U00242,1000033,65.85
2020-10-26,U00004,1000057,28.72
2020-05-23,U00495,1000181,65.42
2020-07-13,U00436,1000089,48.15
2020-04-15,U00154,1000173,53.94
2020-10-13,U00299,1000026,5.69
2020-11-27,U00429,1000095,57.78
2020-10-20,U00144,1000076,69.33
2020-08-03,U00172,1000070,65.22
2020-05-09,U00335,1000182,94.51
2020-11-10,U00096,1000038,53.63
2020-04-02,U00412,1000153,42.99
2020-06-22,U00071,1000184,7.39
2020-08-10,U00132,1000107,43.03
2020-12-02,U00298,1000181,98.51
2020-04-11,U00371,1000182,25.9
2020-09-21,U00401,1000121,90.21
2020-11-12,U00259,1000076,84.47
2020-11-18,U00092,1000075,14.17
2020-03-24,U00132,1000185,80.98
2020-03-22,U00460,1000085,66.52
2020-04-12,U00114,1000190,86.91
2020-07-26,U00454,1000084,39.94
2020-10-10,U00237,1000030,49.23
2020-11-19,U00297,1000158,11.69
2020-04-17,U00061,1000174,40.88
2020-05-14,U00027,1000038,17.91
2020-04-11,U00209,1000145,88.93
2020-08-05,U00161,1000183,21.95
2020-02-16,U00170,1000161,97.74
2020-06-21,U00029,1000001,47.49
2020-04-25,U00396,1000043,59.17
2020-03-16,U00402,1000195,78.3
2020-03-20,U00222,1000162,45.36
2020-07-16,U00196,1000001,8.55
2020-04-24,U00191,1000003,88.85
2020-09-07,U00009,1000173,5.39
2020-12-08,U00115,1000177,87.44
2020-05-05,U00052,1000098,52.31
2020-05-06,U00033,1000011,33.03
2020-05-15,U00372,1000133,61.06
2020-06-14,U00454,1000175,98.57
2020-06-16,U00183,1000192,22.71
2020-07-01,U00116,1000057,73.35
2020-03-07,U00375,1000005,60.43
2020-03-04,U00187,1000182,66.15
2020-01-13,U00448,1000163,29.04
2020-09-20,U00024,1000152,98.5
2020-11-04,U00334,1000005,9.53
2020-02-14,U00227,1000097,16.62
2020-05-16,U00359,1000039,24.32
2020-11-21,U00004,1000077,44.56
2020-02-22,U00266,1000069,63.54
2020-12-05,U00214,1000026,53.09
2020-10-04,U00144,1000029,78.77
2020-08-07,U00311,1000051,78.13
2020-09-07,U00183,1000180,43.52
2020-03-02,U00280,1000127,90.57
2020-12-16,U00169,1000060,5.26
2020-11-03,U00464,1000028,83.51
2020-11-16,U00076,1000023,78.28
2020-02-24,U00370,1000025,90.05
2020-11-08,U00233,1000075,29.83
2020-01-04,U00416,1000044,87.17
2020-05-12,U00410,1000173,34.39
2020-12-04,U00048,1000194,88.69
2020-01-28,U00070,1000169,65.84
2020-06-12,U00457,1000112,94.78
2020-05-24,U00047,1000095,81.61
2020-03-04,U00205,1000102,95.46
2020-05-27,U00197,1000176,84.96
2020-07-21,U00453,1000042,15.63
2020-12-24,U00030,1000040,14.75
2020-10-16,U00410,1000145,68.77
2020-03-20,U00194,1000199,38.71
2020-01-28,U00350,1000186,96.5
2020-03-16,U00471,1000124,15.62
2020-07-15,U00023,1000016,29.59
2020-06-01,U00360,1000173,54.33
2020-12-19,U00370,1000144,26.05
2020-11-28,U00173,1000132,54.17
2020-12-20,U00048,1000110,67.2
2020-04-16,U00177,1000169,68.57
2020-07-05,U00429,1000142,88.85
2020-10-02,U00005,1000164,92.83
2020-09-28,U00240,1000126,86.73
2020-02-25,U00251,1000082,27.64
2020-05-02,U00259,1000057,56.75
2020-07-13,U00418,1000060,12.41
2020-08-26,U00293,1000114,13.27
2020-08-15,U00161,1000030,97.18
2020-12-21,U00009,1000026,42.92
2020-01-18,U00281,1000000,82.64
2020-10-20,U00326,1000077,88.67
2020-09-07,U00335,1000171,47.88
2020-06-12,U00422,1000013,81.76
2020-08-11,U00286,1000196,63.26
2020-08-23,U00336,1000093,72.3
2020-02-04,U00388,1000168,25.84
2020-06-12,U00424,1000162,95.66
2020-05-18,U00267,1000095,71.0
2020-01-06,U00252,1000035,82.25
2020-12-24,U00209,1000027,28.9
2020-04-07,U00061,1000100,25.27
2020-04-23,U00173,1000027,76.17
2020-01-21,U00428,1000172,60.35
2020-08-15,U00337,1000150,94.88
2020-03-16,U00002,1000135,74.2
2020-09-14,U00429,1000149,50.4
2020-09-25,U00471,1000045,70.03
2020-03-24,U00417,1000032,14.73
2020-11-20,U00310,1000082,52.39
2020-07-14,U00311,1000177,76.66
2020-05-13,U00493,1000087,96.23
2020-08-26,U00068,1000035,43.8
2020-12-24,U00262,1000076,84.25
2020-09-28,U00160,1000182,74.26
2020-09-21,U00111,1000051,24.71
2020-12-10,U00351,1000088,91.59
2020-03-23,U00332,1000045,52.37
2020-12-21,U00165,1000181,15.85
2020-06-18,U00245,1000149,58.64
2020-11-23,U00213,1000172,75.3
2020-09-10,U00449,1000108,80.98
2020-09-04,U00012,1000097,18.66
2020-11-02,U00102,1000068,75.52
2020-03-10,U00349,1000064,18.76
2020-01-23,U00401,1000075,24.18
2020-09-02,U00183,1000115,14.63
2020-11-24,U00287,1000057,74.79
2020-09-13,U00121,1000130,78.72
2020-12-10,U00354,1000170,9.42
2020-07-13,U00213,1000175,34.39
2020-09-02,U00006,1000190,28.63
2020-10-28,U00399,1000113,83.02
2020-11-23,U00363,1000165,39.57
2020-10-18,U00378,1000154,23.47
2020-12-07,U00150,1000114,21.68
2020-11-03,U00095,1000044,74.1
2020-02-13,U00020,1000109,31.24
2020-05-05,U00082,1000149,84.53
2020-01-11,U00238,1000181,93.12
2020-01-05,U00475,1000082,61.11
2020-11-20,U00431,1000169,33.31
2020-10-18,U00183,1000018,78.7
2020-06-17,U00112,1000047,53.94
2020-09-06,U00212,1000139,55.48
2020-02-12,U00113,1000054,67.35
2020-06-12,U00150,1000055,94.33
2020-10-17,U00243,1000143,82.43
2020-11-01,U00058,1000171,37.52
2020-04-21,U00314,1000159,27.92
2020-01-22,U00453,1000082,40.85
2020-02-13,U00131,1000138,73.05
2020-01-17,U00420,1000197,40.25
2020-09-15,U00249,1000011,32.86
2020-11-07,U00164,1000131,12.74
2020-02-06,U00497,1000197,55.57
2020-01-21,U00033,1000053,68.01
2020-04-28,U00350,1000108,83.55
2020-04-18,U00424,1000179,87.59
2020-12-25,U00222,1000165,81.77
2020-02-24,U00351,1000039,7.23
2020-12-11,U00019,1000022,11.89
2020-03-26,U00128,1000142,11.62
2020-04-09,U00208,1000099,47.41
2020-07-14,U00161,1000004,41.61
2020-02-18,U00003,1000164,72.71
2020-02-25,U00381,1000149,9.28
2020-02-12,U00475,1000128,14.98
2020-11-10,U00310,1000022,31.46
2020-08-13,U00202,1000169,7.9
2020-03-18,U00112,1000034,75.19
2020-09-10,U00491,1000162,18.54
2020-11-26,U00443,1000186,65.91
2020-01-18,U00447,1000142,18.29
2020-01-01,U00293,1000152,42.04
2020-09-03,U00156,1000053,75.34
2020-12-12,U00108,1000105,90.13
2020-09-05,U00082,1000047,25.75
2020-05-07,U00058,1000046,68.07
2020-10-28,U00027,1000192,92.64
2020-09-15,U00330,1000140,11.88
2020-11-03,U00128,1000025,23.56
2020-10-16,U00487,1000084,38.57
2020-11-21,U00120,1000025,31.8
2020-02-07,U00162,1000124,47.36
2020-10-22,U00156,1000177,59.91
2020-10-19,U00186,1000080,95.11
2020-03-01,U00160,1000063,78.85
2020-12-24,U00328,1000111,31.01
2020-06-05,U00347,1000187,36.17
2020-08-15,U00228,1000091,77.83
2020-08-18,U00055,1000044,65.68
2020-02-27,U00143,1000035,88.78
2020-04-09,U00375,1000160,12.19
2020-02-01,U00434,1000129,64.37
