customer_id,age,club_member_status,fashion_news_frequency
U00126,56,PRE-CREATE,Regularly
U00127,30,PRE-CREATE,Regularly
U00128,41,ACTIVE,None
U00129,18,LEFT CLUB,Monthly
U00130,26,PRE-CREATE,Regularly
U00131,21,LEFT CLUB,None
U00132,62,ACTIVE,Monthly
U00133,49,ACTIVE,Regularly
U00134,54,PRE-CREATE,None
U00135,48,PRE-CREATE,None
U00136,29,ACTIVE,None
U00137,48,ACTIVE,Regularly
U00138,43,PRE-CREATE,Regularly
U00139,54,LEFT CLUB,Monthly
U00140,21,ACTIVE,Regularly
U00141,54,PRE-CREATE,Regularly
U00142,33,ACTIVE,Monthly
U00143,44,LEFT CLUB,Monthly
U00144,57,ACTIVE,Monthly
U00145,42,PRE-CREATE,None
U00146,37,LEFT CLUB,None
U00147,37,LEFT CLUB,Monthly
U00148,21,LEFT CLUB,Monthly
U00149,24,ACTIVE,Monthly
U00150,31,PRE-CREATE,Monthly
U00151,23,ACTIVE,Regularly
U00152,29,LEFT CLUB,Regularly
U00153,28,ACTIVE,None
U00154,46,LEFT CLUB,Monthly
U00155,48,PRE-CREATE,Regularly
U00156,32,PRE-CREATE,Monthly
U00157,36,LEFT CLUB,None
U00158,22,LEFT CLUB,Regularly
U00159,34,LEFT CLUB,Monthly
U00160,60,ACTIVE,None
U00161,25,LEFT CLUB,Regularly
U00162,59,ACTIVE,None
U00163,27,ACTIVE,Regularly
U00164,28,PRE-CREATE,Monthly
U00165,65,LEFT CLUB,None
U00166,46,ACTIVE,None
U00167,62,PRE-CREATE,Monthly
U00168,43,PRE-CREATE,Monthly
U00169,52,PRE-CREATE,None
U00170,23,LEFT CLUB,Regularly
U00171,45,LEFT CLUB,None
U00172,56,PRE-CREATE,Regularly
U00173,23,ACTIVE,Monthly
U00174,54,LEFT CLUB,Regularly
U00175,61,PRE-CREATE,Monthly
U00176,20,ACTIVE,None
U00177,51,LEFT CLUB,None
U00178,35,ACTIVE,Monthly
U00179,45,LEFT CLUB,None
U00180,23,PRE-CREATE,None
U00181,44,PRE-CREATE,None
U00182,60,ACTIVE,Regularly
U00183,39,PRE-CREATE,Monthly
U00184,49,PRE-CREATE,Monthly
U00185,43,LEFT CLUB,Regularly
U00186,47,ACTIVE,None
U00187,34,PRE-CREATE,Regularly
U00188,43,LEFT CLUB,Regularly
U00189,60,LEFT CLUB,None
U00190,44,ACTIVE,Regularly
U00191,51,PRE-CREATE,Monthly
U00192,49,LEFT CLUB,None
U00193,21,ACTIVE,None
U00194,53,ACTIVE,None
U00195,46,LEFT CLUB,None
U00196,25,ACTIVE,Monthly
U00197,56,ACTIVE,Monthly
U00198,28,PRE-CREATE,Monthly
U00199,18,LEFT CLUB,None
U00200,23,ACTIVE,Regularly
U00201,47,ACTIVE,Monthly
U00202,27,PRE-CREATE,Monthly
U00203,36,LEFT CLUB,Monthly
U00204,35,PRE-CREATE,None
U00205,48,ACTIVE,None
U00206,53,ACTIVE,None
U00207,30,LEFT CLUB,Monthly
U00208,65,ACTIVE,Regularly
U00209,35,PRE-CREATE,None
U00210,50,PRE-CREATE,Regularly
U00211,36,LEFT CLUB,None
U00212,55,LEFT CLUB,Monthly
U00213,49,ACTIVE,None
U00214,52,PRE-CREATE,None
U00215,39,LEFT CLUB,Monthly
U00216,42,PRE-CREATE,None
U00217,30,LEFT CLUB,Regularly
U00218,54,PRE-CREATE,Regularly
U00219,44,ACTIVE,None
U00220,65,PRE-CREATE,Monthly
U00221,42,PRE-CREATE,Monthly
U00222,59,ACTIVE,None
U00223,20,ACTIVE,Monthly
U00224,55,PRE-CREATE,Regularly
U00225,46,ACTIVE,Monthly
U00226,47,ACTIVE,Monthly
U00227,27,PRE-CREATE,Monthly
U00228,27,ACTIVE,None
U00229,34,PRE-CREATE,Monthly
U00230,62,PRE-CREATE,Monthly
U00231,23,PRE-CREATE,Monthly
U00232,52,PRE-CREATE,None
U00233,58,LEFT CLUB,None
U00234,52,ACTIVE,Monthly
U00235,22,ACTIVE,Monthly
U00236,61,PRE-CREATE,Regularly
U00237,65,ACTIVE,None
U00238,24,LEFT CLUB,Monthly
U00239,24,PRE-CREATE,Regularly
U00240,62,PRE-CREATE,Regularly
U00241,20,PRE-CREATE,Regularly
U00242,36,PRE-CREATE,None
U00243,45,ACTIVE,Regularly
U00244,51,PRE-CREATE,Monthly
U00245,61,ACTIVE,Regularly
U00246,29,ACTIVE,Monthly
U00247,42,LEFT CLUB,Monthly
U00248,33,PRE-CREATE,Monthly
U00249,27,ACTIVE,None
U00250,58,PRE-CREATE,None
U00251,34,LEFT CLUB,Regularly
U00252,47,PRE-CREATE,Monthly
U00253,52,ACTIVE,Regularly
U00254,46,PRE-CREATE,Monthly
U00255,37,LEFT CLUB,None
U00256,62,PRE-CREATE,None
U00257,37,ACTIVE,None
U00258,48,ACTIVE,Regularly
U00259,42,LEFT CLUB,None
U00260,54,PRE-CREATE,Monthly
U00261,36,ACTIVE,Monthly
U00262,43,PRE-CREATE,Regularly
U00263,54,LEFT CLUB,Monthly
U00264,21,LEFT CLUB,Monthly
U00265,49,PRE-CREATE,Regularly
U00266,56,PRE-CREATE,Regularly
U00267,58,ACTIVE,Monthly
U00268,34,LEFT CLUB,Monthly
U00269,60,LEFT CLUB,Regularly
U00270,58,ACTIVE,Monthly
U00271,59,ACTIVE,None
U00272,46,ACTIVE,Monthly
U00273,41,LEFT CLUB,Regularly
U00274,23,PRE-CREATE,None
U00275,65,PRE-CREATE,Regularly
U00276,30,ACTIVE,Monthly
U00277,41,LEFT CLUB,Monthly
U00278,35,ACTIVE,None
U00279,48,PRE-CREATE,Monthly
U00280,39,ACTIVE,None
U00281,22,ACTIVE,Regularly
U00282,61,LEFT CLUB,Monthly
U00283,43,LEFT CLUB,None
U00284,23,PRE-CREATE,Regularly
U00285,34,LEFT CLUB,Regularly
U00286,47,PRE-CREATE,Monthly
U00287,65,LEFT CLUB,None
U00288,55,PRE-CREATE,Monthly
U00289,41,ACTIVE,Monthly
U00290,32,PRE-CREATE,Regularly
U00291,57,LEFT CLUB,None
U00292,57,ACTIVE,Monthly
U00293,22,LEFT CLUB,None
U00294,62,PRE-CREATE,Monthly
U00295,44,ACTIVE,Regularly
U00296,20,ACTIVE,None
U00297,49,ACTIVE,Regularly
U00298,33,LEFT CLUB,Regularly
U00299,42,PRE-CREATE,None
U00300,60,LEFT CLUB,Monthly
U00301,52,PRE-CREATE,Monthly
U00302,65,LEFT CLUB,Regularly
U00303,44,LEFT CLUB,Regularly
U00304,49,LEFT CLUB,None
U00305,35,ACTIVE,Monthly
U00306,41,ACTIVE,None
U00307,46,ACTIVE,None
U00308,24,LEFT CLUB,None
U00309,52,LEFT CLUB,None
U00310,21,PRE-CREATE,None
U00311,30,ACTIVE,None
U00312,23,LEFT CLUB,Regularly
U00313,59,LEFT CLUB,Monthly
U00314,19,ACTIVE,None
U00315,33,ACTIVE,Monthly
U00316,31,ACTIVE,Monthly
U00317,31,LEFT CLUB,Regularly
U00318,32,PRE-CREATE,Regularly
U00319,56,ACTIVE,None
U00320,27,ACTIVE,Monthly
U00321,34,ACTIVE,Regularly
U00322,60,ACTIVE,Regularly
U00323,18,PRE-CREATE,Regularly
U00324,55,PRE-CREATE,Regularly
U00325,29,PRE-CREATE,Regularly
U00326,26,LEFT CLUB,None
U00327,51,ACTIVE,Monthly
U00328,22,PRE-CREATE,None
U00329,41,LEFT CLUB,Monthly
U00330,24,PRE-CREATE,Monthly
U00331,32,LEFT CLUB,Regularly
U00332,64,LEFT CLUB,Monthly
U00333,37,PRE-CREATE,Monthly
U00334,19,ACTIVE,None
U00335,43,PRE-CREATE,Monthly
U00336,24,PRE-CREATE,Monthly
U00337,46,ACTIVE,Regularly
U00338,38,LEFT CLUB,Regularly
U00339,22,ACTIVE,None
U00340,57,LEFT CLUB,Monthly
U00341,53,LEFT CLUB,None
U00342,42,LEFT CLUB,Monthly
U00343,36,PRE-CREATE,Monthly
U00344,56,PRE-CREATE,Regularly
U00345,62,ACTIVE,Monthly
U00346,59,LEFT CLUB,Monthly
U00347,31,PRE-CREATE,None
U00348,32,PRE-CREATE,None
U00349,47,PRE-CREATE,None
U00350,64,ACTIVE,None
U00351,45,PRE-CREATE,Monthly
U00352,34,PRE-CREATE,Regularly
U00353,61,PRE-CREATE,Regularly
U00354,23,ACTIVE,Regularly
U00355,45,ACTIVE,Monthly
U00356,65,PRE-CREATE,Regularly
U00357,53,ACTIVE,Monthly
U00358,53,LEFT CLUB,None
U00359,60,ACTIVE,None
U00360,40,LEFT CLUB,None
U00361,64,ACTIVE,None
U00362,56,PRE-CREATE,None
U00363,24,LEFT CLUB,Monthly
U00364,31,ACTIVE,Monthly
U00365,48,ACTIVE,Regularly
U00366,40,LEFT CLUB,None
U00367,25,PRE-CREATE,Monthly
U00368,32,PRE-CREATE,Monthly
U00369,57,LEFT CLUB,Monthly
U00370,59,LEFT CLUB,Regularly
U00371,56,LEFT CLUB,Monthly
U00372,35,ACTIVE,Regularly
U00373,35,LEFT CLUB,None
U00374,39,PRE-CREATE,Regularly
U00375,29,ACTIVE,Monthly
U00376,60,PRE-CREATE,Regularly
U00377,27,LEFT CLUB,Monthly
U00378,19,ACTIVE,Monthly
U00379,51,ACTIVE,None
U00380,44,PRE-CREATE,None
U00381,28,PRE-CREATE,None
U00382,64,PRE-CREATE,Monthly
U00383,56,ACTIVE,Regularly
U00384,27,ACTIVE,Monthly
U00385,21,LEFT CLUB,Regularly
U00386,35,PRE-CREATE,Monthly
U00387,45,PRE-CREATE,Monthly
U00388,46,PRE-CREATE,None
U00389,31,LEFT CLUB,Regularly
U00390,40,PRE-CREATE,Regularly
U00391,36,LEFT CLUB,Monthly
U00392,55,PRE-CREATE,Monthly
U00393,60,PRE-CREATE,Regularly
U00394,32,PRE-CREATE,Monthly
U00395,21,ACTIVE,Regularly
U00396,37,ACTIVE,Regularly
U00397,34,PRE-CREATE,None
U00398,25,ACTIVE,None
U00399,65,PRE-CREATE,Regularly
U00400,26,PRE-CREATE,Monthly
U00401,63,ACTIVE,Monthly
U00402,53,LEFT CLUB,None
U00403,22,PRE-CREATE,Monthly
U00404,20,PRE-CREATE,Regularly
U00405,47,ACTIVE,None
U00406,54,PRE-CREATE,Monthly
U00407,43,LEFT CLUB,Monthly
U00408,44,PRE-CREATE,Regularly
U00409,43,ACTIVE,None
U00410,28,LEFT CLUB,None
U00411,62,PRE-CREATE,Regularly
U00412,45,ACTIVE,Regularly
U00413,45,LEFT CLUB,None
U00414,51,ACTIVE,None
U00415,37,LEFT CLUB,None
U00416,32,PRE-CREATE,Regularly
U00417,22,LEFT CLUB,Monthly
U00418,25,LEFT CLUB,Monthly
U00419,30,PRE-CREATE,None
U00420,64,LEFT CLUB,Regularly
U00421,33,ACTIVE,Regularly
U00422,34,ACTIVE,Regularly
U00423,56,ACTIVE,Monthly
U00424,22,ACTIVE,Monthly
U00425,49,PRE-CREATE,Monthly
U00426,55,PRE-CREATE,Monthly
U00427,54,LEFT CLUB,Monthly
U00428,57,PRE-CREATE,Monthly
U00429,38,ACTIVE,None
U00430,22,PRE-CREATE,None
U00431,58,PRE-CREATE,None
U00432,55,ACTIVE,None
U00433,50,ACTIVE,None
U00434,47,PRE-CREATE,Regularly
U00435,21,PRE-CREATE,None
U00436,22,LEFT CLUB,Regularly
U00437,57,LEFT CLUB,Monthly
U00438,42,PRE-CREATE,Monthly
U00439,53,LEFT CLUB,Regularly
U00440,46,LEFT CLUB,Monthly
U00441,30,PRE-CREATE,Monthly
U00442,48,LEFT CLUB,Regularly
U00443,21,PRE-CREATE,Regularly
U00444,39,LEFT CLUB,Regularly
U00445,50,LEFT CLUB,Regularly
U00446,20,ACTIVE,Monthly
U00447,46,PRE-CREATE,Monthly
U00448,51,LEFT CLUB,Regularly
U00449,41,PRE-CREATE,None
U00450,42,PRE-CREATE,None
U00451,61,LEFT CLUB,Regularly
U00452,58,LEFT CLUB,None
U00453,22,PRE-CREATE,Regularly
U00454,53,LEFT CLUB,None
U00455,36,PRE-CREATE,Monthly
U00456,60,LEFT CLUB,Regularly
U00457,39,ACTIVE,Monthly
U00458,60,ACTIVE,None
U00459,37,LEFT CLUB,Monthly
U00460,60,PRE-CREATE,Regularly
U00461,56,LEFT CLUB,Regularly
U00462,37,LEFT CLUB,None
U00463,59,PRE-CREATE,Regularly
U00464,60,LEFT CLUB,Monthly
U00465,61,LEFT CLUB,Regularly
U00466,59,LEFT CLUB,None
U00467,50,PRE-CREATE,Regularly
U00468,41,PRE-CREATE,Regularly
U00469,31,PRE-CREATE,None
U00470,30,ACTIVE,Regularly
U00471,27,ACTIVE,None
U00472,24,LEFT CLUB,Monthly
U00473,65,LEFT CLUB,Regularly
U00474,60,PRE-CREATE,Monthly
U00475,26,LEFT CLUB,None
U00476,27,ACTIVE,Regularly
U00477,62,LEFT CLUB,Regularly
U00478,64,PRE-CREATE,Regularly
U00479,44,PRE-CREATE,Monthly
U00480,64,ACTIVE,None
U00481,57,PRE-CREATE,Monthly
U00482,46,ACTIVE,Monthly
U00483,33,PRE-CREATE,None
U00484,30,PRE-CREATE,Monthly
U00485,54,PRE-CREATE,None
U00486,36,PRE-CREATE,Monthly
U00487,51,PRE-CREATE,Regularly
U00488,30,LEFT CLUB,Regularly
U00489,34,ACTIVE,Monthly
U00490,48,PRE-CREATE,Monthly
U00491,24,LEFT CLUB,Monthly
U00492,25,PRE-CREATE,Regularly
U00493,28,PRE-CREATE,None
U00494,50,ACTIVE,None
U00495,23,ACTIVE,None
U00496,40,ACTIVE,None
U00497,21,PRE-CREATE,Monthly
U00498,41,ACTIVE,None
U00499,23,PRE-CREATE,Regularly
